Passport,Destination,Requirement
BR,AL,90
BR,DZ,visa required
BR,AD,90
BR,AO,30
BR,AG,180
BR,AR,90
BR,AM,180
BR,AU,e-visa
BR,AT,90
BR,AZ,e-visa
BR,BS,90
BR,BH,visa on arrival
BR,BD,visa required
BR,BB,180
BR,BY,90
BR,BE,90
BR,BZ,90
BR,BJ,e-visa
BR,BT,e-visa
BR,BO,90
BR,BA,90
BR,BW,90
BR,BR,-1
BR,BN,visa required
BR,BG,90
BR,BF,e-visa
BR,BI,visa on arrival
BR,KH,visa on arrival
BR,CM,e-visa
BR,CA,visa required
BR,CV,30
BR,CF,visa required
BR,TD,e-visa
BR,CL,90
BR,CN,30
BR,CO,90
BR,KM,visa on arrival
BR,CG,visa required
BR,CD,e-visa
BR,CR,180
BR,CI,eta
BR,HR,90
BR,CU,e-visa
BR,CY,90
BR,CZ,90
BR,DK,90
BR,DJ,visa on arrival
BR,DM,90
BR,DO,30
BR,EC,90
BR,EG,visa on arrival
BR,SV,180
BR,GQ,e-visa
BR,ER,visa required
BR,EE,90
BR,SZ,30
BR,ET,visa on arrival
BR,FJ,120
BR,FI,90
BR,FR,90
BR,GA,e-visa
BR,GM,visa required
BR,GE,360
BR,DE,90
BR,GH,visa required
BR,GR,90
BR,GD,90
BR,GT,90
BR,GN,e-visa
BR,GW,visa on arrival
BR,GY,90
BR,HT,90
BR,HN,90
BR,HK,90
BR,HU,90
BR,IS,90
BR,IN,e-visa
BR,ID,30
BR,IR,15
BR,IQ,e-visa
BR,IE,90
BR,IL,eta
BR,IT,90
BR,JM,90
BR,JP,90
BR,JO,visa on arrival
BR,KZ,30
BR,KE,eta
BR,KI,90
BR,XK,90
BR,KW,visa required
BR,KG,60
BR,LA,visa on arrival
BR,LV,90
BR,LB,visa on arrival
BR,LS,visa required
BR,LR,e-visa
BR,LY,e-visa
BR,LI,90
BR,LT,90
BR,LU,90
BR,MO,90
BR,MG,visa on arrival
BR,MW,visa on arrival
BR,MY,90
BR,MV,visa on arrival
BR,ML,visa required
BR,MT,90
BR,MH,visa on arrival
BR,MR,e-visa
BR,MU,90
BR,MX,visa required
BR,FM,30
BR,MD,90
BR,MC,90
BR,MN,90
BR,ME,90
BR,MA,90
BR,MZ,visa on arrival
BR,MM,e-visa
BR,NA,90
BR,NR,visa required
BR,NP,visa on arrival
BR,NL,90
BR,NZ,eta
BR,NI,90
BR,NE,visa required
BR,NG,e-visa
BR,KP,visa required
BR,MK,90
BR,NO,90
BR,OM,visa on arrival
BR,PK,e-visa
BR,PW,visa on arrival
BR,PS,visa free
BR,PA,90
BR,PG,eta
BR,PY,90
BR,PE,180
BR,PH,60
BR,PL,90
BR,PT,90
BR,QA,visa on arrival
BR,RO,90
BR,RU,90
BR,RW,visa on arrival
BR,KN,eta
BR,LC,42
BR,WS,visa on arrival
BR,SM,90
BR,ST,visa free
BR,SA,e-visa
BR,SN,90
BR,RS,90
BR,SC,90
BR,SL,visa on arrival
BR,SG,30
BR,SK,90
BR,SI,90
BR,SB,visa on arrival
BR,SO,e-visa
BR,ZA,90
BR,KR,eta
BR,SS,e-visa
BR,ES,90
BR,LK,visa on arrival
BR,VC,90
BR,SD,visa required
BR,SR,180
BR,SE,90
BR,CH,90
BR,SY,e-visa
BR,TW,visa required
BR,TJ,30
BR,TZ,visa on arrival
BR,TH,90
BR,TL,visa on arrival
BR,TG,e-visa
BR,TO,visa on arrival
BR,TT,90
BR,TN,90
BR,TM,visa required
BR,TV,visa on arrival
BR,TR,90
BR,UG,e-visa
BR,UA,90
BR,AE,90
BR,GB,eta
BR,US,visa required
BR,UY,90
BR,UZ,30
BR,VU,120
BR,VA,90
BR,VE,90
BR,VN,e-visa
BR,YE,visa required
BR,ZM,visa on arrival
BR,ZW,visa on arrival
BR,AF,visa required
